Instance,clase,v,cplex1,ob1,ob21,gap1,cplex2,ob2,ob12,gap2,gap21,gap12,opt1,opt21,opt2,opt12
p2.2.a_c.txt,1,2,45,45,45,0.0,180.0,180.0,180.0,-0.0,0.0,-0.0,1,1,1,1
p2.2.a_c.txt,1,2,45,45,45,0.0,180.0,180.0,180.0,-0.0,0.0,-0.0,1,1,1,1
p2.2.a_c.txt,1,2,45,45,45,0.0,180.0,180.0,180.0,-0.0,0.0,-0.0,1,1,1,1
p2.2.a_c.txt,1,2,45,45,45,0.0,180.0,180.0,180.0,-0.0,0.0,-0.0,1,1,1,1
p2.2.a_c.txt,1,2,45,45,45,0.0,180.0,180.0,180.0,-0.0,0.0,-0.0,1,1,1,1
p2.2.a_c.txt,1,2,45,45,45,0.0,180.0,180.0,180.0,-0.0,0.0,-0.0,1,1,1,1
p2.2.a_c.txt,1,2,45,45,45,0.0,180.0,180.0,180.0,-0.0,0.0,-0.0,1,1,1,1
p2.2.a_c.txt,1,2,45,45,45,0.0,180.0,180.0,180.0,-0.0,0.0,-0.0,1,1,1,1
p2.2.a_c.txt,1,2,45,45,45,0.0,180.0,180.0,180.0,-0.0,0.0,-0.0,1,1,1,1
p2.2.a_c.txt,1,2,45,45,45,0.0,180.0,180.0,180.0,-0.0,0.0,-0.0,1,1,1,1
p2.2.b_c.txt,1,2,50,50,50,0.0,175.0,175.0,175.0,-0.0,0.0,-0.0,1,1,1,1
p2.2.b_c.txt,1,2,50,50,50,0.0,175.0,175.0,175.0,-0.0,0.0,-0.0,1,1,1,1
p2.2.b_c.txt,1,2,50,50,50,0.0,175.0,175.0,175.0,-0.0,0.0,-0.0,1,1,1,1
p2.2.b_c.txt,1,2,50,50,50,0.0,175.0,175.0,175.0,-0.0,0.0,-0.0,1,1,1,1
p2.2.b_c.txt,1,2,50,50,50,0.0,175.0,175.0,175.0,-0.0,0.0,-0.0,1,1,1,1
p2.2.b_c.txt,1,2,50,50,50,0.0,175.0,175.0,175.0,-0.0,0.0,-0.0,1,1,1,1
p2.2.b_c.txt,1,2,50,50,50,0.0,175.0,175.0,175.0,-0.0,0.0,-0.0,1,1,1,1
