Entidad,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aguascalientes,36285,25668,27225,26784,33376,30721,32602,33876,31618
Baja California,30943,30549,36579,39507,37583,30786,39886,36578,33836
Baja California Sur,23280,26939,27043,24746,30310,24212,27135,24427,25591
Campeche,17260,17191,21991,23710,22639,19469,22766,22666,23106
Coahuila de Zaragoza,25203,22944,19540,24040,17080,21501,18893,20978,20582
Colima,17224,21069,24908,22059,21562,24244,26536,22152,23924
Chiapas,12814,12526,12620,16445,15352,14347,17046,15631,15958
Chihuahua,35828,30417,32567,27344,22395,23993,26898,24954,23796
Ciudad de México,32340,33256,31675,33068,36019,38475,36010,43069,42603
Durango,20418,19839,24232,22157,22949,22260,19761,18209,20219
Guanajuato,21100,24488,28861,27293,31659,28035,27856,27859,27191
Guerrero,20216,20249,26789,26002,27721,31344,32058,30445,25030
Hidalgo,20225,21787,19451,19890,18420,19245,20027,19028,22536
Jalisco,24454,25505,31861,33029,31375,33800,30939,31050,30445
México,27957,30920,41048,47778,45139,45795,47648,46705,41389
Michoacán de Ocampo,15106,20805,20354,20002,21311,19784,21263,19785,18520
Morelos,21898,22956,29310,26146,29647,29139,29591,31842,31512
Nayarit,23106,20804,19169,18535,22052,19941,21711,24983,22063
Nuevo León,27962,25063,31316,26516,24250,25203,26979,30045,25148
Oaxaca,16189,17524,14335,16291,20061,18382,19687,17735,17757
Puebla,21441,22591,22733,23585,23741,22959,25502,31834,29576
Querétaro,19062,21022,24002,23554,25660,28128,24228,28229,29147
Quintana Roo,28419,26603,29703,26519,28638,29321,26860,25932,26311
San Luis Potosí,22503,24662,26810,25710,25873,21280,22039,23926,26025
Sinaloa,26056,23836,26141,23588,22063,20263,19609,23804,23064
Sonora,29008,29980,29131,27395,24246,29587,33268,31184,31853
Tabasco,24480,19217,20837,22725,24759,25910,26760,33589,30308
Tamaulipas,22661,18067,21407,17570,23339,18908,19428,18804,19313
Tlaxcala,20874,18135,18150,21924,26012,26905,24798,30212,31512
Veracruz de Ignacio de la Llave,16900,17708,18733,20246,17208,18422,16918,16512,16001
Yucatán,17715,14816,19548,18438,22860,20491,19668,20999,18635
Zacatecas,22247,20137,20337,20863,22924,17635,19158,24958,22141
