Instance,ObValue1,ObValue12,Time,Feas,v,inst,cplex,gap
p2.2.a_c.txt,45,180,0.913169,1,2,a,45,0
p2.2.a_c.txt,45,180,0.902981,1,2,a,45,0
p2.2.a_c.txt,45,180,0.890247,1,2,a,45,0
p2.2.a_c.txt,45,180,0.915027,1,2,a,45,0
p2.2.a_c.txt,45,180,0.898535,1,2,a,45,0
p2.2.a_c.txt,45,180,0.903564,1,2,a,45,0
p2.2.a_c.txt,45,180,0.912149,1,2,a,45,0
p2.2.a_c.txt,45,180,0.904566,1,2,a,45,0
p2.2.a_c.txt,45,180,0.897161,1,2,a,45,0
p2.2.a_c.txt,45,180,0.915853,1,2,a,45,0
p2.2.b_c.txt,50,175,0.910851,1,2,b,50,0
p2.2.b_c.txt,50,175,0.893158,1,2,b,50,0
p2.2.b_c.txt,50,175,0.913699,1,2,b,50,0
p2.2.b_c.txt,50,175,0.902693,1,2,b,50,0
p2.2.b_c.txt,50,175,0.89773,1,2,b,50,0
p2.2.b_c.txt,50,175,0.915436,1,2,b,50,0
p2.2.b_c.txt,50,175,0.910891,1,2,b,50,0
p2.2.b_c.txt,50,175,0.906418,1,2,b,50,0
p2.2.b_c.txt,50,175,0.928454,1,2,b,50,0
p2.2.b_c.txt,50,175,0.940415,1,2,b,50,0
p2.2.c_c.txt,65,160,0.938816,1,2,c,65,0
p2.2.c_c.txt,65,160,0.924765,1,2,c,65,0
p2.2.c_c.txt,65,160,0.933873,1,2,c,65,0
p2.2.c_c.txt,65,160,0.931568,1,2,c,65,0
p2.2.c_c.txt,65,160,0.932654,1,2,c,65,0
p2.2.c_c.txt,65,160,0.930252,1,2,c,65,0
p2.2.c_c.txt,65,160,0.92009,1,2,c,65,0
p2.2.c_c.txt,65,160,0.937069,1,2,c,65,0
p2.2.c_c.txt,65,160,0.943872,1,2,c,65,0
p2.2.c_c.txt,65,160,0.91974,1,2,c,65,0
p2.2.d_c.txt,75,150,0.819954,1,2,d,75,0
p2.2.d_c.txt,75,150,0.840388,1,2,d,75,0
p2.2.d_c.txt,75,150,0.83498,1,2,d,75,0
p2.2.d_c.txt,75,150,0.80684,1,2,d,75,0
p2.2.d_c.txt,75,150,0.803535,1,2,d,75,0
p2.2.d_c.txt,75,150,0.800879,1,2,d,75,0
p2.2.d_c.txt,75,150,0.825058,1,2,d,75,0
p2.2.d_c.txt,75,150,0.819721,1,2,d,75,0
p2.2.d_c.txt,75,150,0.82535,1,2,d,75,0
p2.2.d_c.txt,75,150,0.805427,1,2,d,75,0
p2.2.e_c.txt,75,150,0.76659,1,2,e,75,0
p2.2.e_c.txt,75,150,0.75904,1,2,e,75,0
p2.2.e_c.txt,75,150,0.771029,1,2,e,75,0
p2.2.e_c.txt,75,150,0.756413,1,2,e,75,0
p2.2.e_c.txt,75,150,0.770157,1,2,e,75,0
p2.2.e_c.txt,75,150,0.760263,1,2,e,75,0
p2.2.e_c.txt,75,150,0.770581,1,2,e,75,0
p2.2.e_c.txt,75,150,0.777237,1,2,e,75,0
p2.2.e_c.txt,75,150,0.790365,1,2,e,75,0
p2.2.e_c.txt,75,150,0.768424,1,2,e,75,0
p2.2.f_c.txt,90,135,0.823903,1,2,f,90,0
p2.2.f_c.txt,90,135,0.827999,1,2,f,90,0
p2.2.f_c.txt,90,135,0.853903,1,2,f,90,0
p2.2.f_c.txt,90,135,0.86555,1,2,f,90,0
p2.2.f_c.txt,90,135,0.876786,1,2,f,90,0
p2.2.f_c.txt,90,135,0.820785,1,2,f,90,0
p2.2.f_c.txt,90,135,0.839147,1,2,f,90,0
p2.2.f_c.txt,90,135,0.828775,1,2,f,90,0
p2.2.f_c.txt,90,135,0.83717,1,2,f,90,0
p2.2.f_c.txt,90,135,0.810396,1,2,f,90,0
p2.2.g_c.txt,100,125,0.877411,1,2,g,100,0
p2.2.g_c.txt,100,125,0.87576,1,2,g,100,0
p2.2.g_c.txt,100,125,0.871634,1,2,g,100,0
p2.2.g_c.txt,100,125,0.877785,1,2,g,100,0
p2.2.g_c.txt,100,125,0.866769,1,2,g,100,0
p2.2.g_c.txt,100,125,0.876834,1,2,g,100,0
p2.2.g_c.txt,100,125,0.871669,1,2,g,100,0
p2.2.g_c.txt,100,125,0.879486,1,2,g,100,0
p2.2.g_c.txt,100,125,0.866484,1,2,g,100,0
p2.2.g_c.txt,100,125,0.883358,1,2,g,100,0
p2.2.h_c.txt,100,125,0.912966,1,2,h,100,0
p2.2.h_c.txt,100,125,0.894282,1,2,h,100,0
p2.2.h_c.txt,100,125,0.902927,1,2,h,100,0
p2.2.h_c.txt,100,125,0.92045,1,2,h,100,0
p2.2.h_c.txt,100,125,0.920081,1,2,h,100,0
p2.2.h_c.txt,100,125,0.917016,1,2,h,100,0
p2.2.h_c.txt,100,125,0.925265,1,2,h,100,0
p2.2.h_c.txt,100,125,0.921949,1,2,h,100,0
p2.2.h_c.txt,100,125,0.902789,1,2,h,100,0
p2.2.h_c.txt,100,125,0.91772,1,2,h,100,0
p2.2.i_c.txt,110,115,0.845841,1,2,i,110,0
p2.2.i_c.txt,110,115,0.831182,1,2,i,110,0
p2.2.i_c.txt,110,115,0.82213,1,2,i,110,0
p2.2.i_c.txt,110,115,0.825309,1,2,i,110,0
p2.2.i_c.txt,105,120,0.829776,1,2,i,110,4.55
p2.2.i_c.txt,110,115,0.838194,1,2,i,110,0
p2.2.i_c.txt,105,120,0.833827,1,2,i,110,4.55
p2.2.i_c.txt,110,115,0.834299,1,2,i,110,0
p2.2.i_c.txt,110,115,0.855872,1,2,i,110,0
p2.2.i_c.txt,105,120,0.842822,1,2,i,110,4.55
p2.2.j_c.txt,115,110,0.998976,1,2,j,115,0
p2.2.j_c.txt,115,110,0.999368,1,2,j,115,0
p2.2.j_c.txt,115,110,1.00085,1,2,j,115,0
p2.2.j_c.txt,115,110,0.990828,1,2,j,115,0
p2.2.j_c.txt,115,110,0.85726,1,2,j,115,0
p2.2.j_c.txt,115,110,0.8605,1,2,j,115,0
p2.2.j_c.txt,115,110,0.840779,1,2,j,115,0
p2.2.j_c.txt,115,110,0.839471,1,2,j,115,0
p2.2.j_c.txt,115,110,0.967483,1,2,j,115,0
p2.2.j_c.txt,115,110,0.987924,1,2,j,115,0
p2.2.k_c.txt,120,105,0.98625,1,2,k,120,0
p2.2.k_c.txt,120,105,0.983827,1,2,k,120,0
p2.2.k_c.txt,120,105,1.00117,1,2,k,120,0
p2.2.k_c.txt,120,105,0.980696,1,2,k,120,0
p2.2.k_c.txt,120,105,0.982249,1,2,k,120,0
p2.2.k_c.txt,120,105,0.98356,1,2,k,120,0
p2.2.k_c.txt,120,105,0.978274,1,2,k,120,0
p2.2.k_c.txt,120,105,0.985949,1,2,k,120,0
p2.2.k_c.txt,120,105,0.987097,1,2,k,120,0
p2.2.k_c.txt,120,105,1.01061,1,2,k,120,0
p2.3.a_c.txt,20,130,0.833024,1,3,a,20,0
p2.3.a_c.txt,20,130,0.839325,1,3,a,20,0
p2.3.a_c.txt,20,130,0.825416,1,3,a,20,0
p2.3.a_c.txt,20,130,0.810471,1,3,a,20,0
p2.3.a_c.txt,20,130,0.816334,1,3,a,20,0
p2.3.a_c.txt,20,130,0.805158,1,3,a,20,0
p2.3.a_c.txt,20,130,0.808284,1,3,a,20,0
p2.3.a_c.txt,20,130,0.803458,1,3,a,20,0
p2.3.a_c.txt,20,130,0.817,1,3,a,20,0
p2.3.a_c.txt,20,130,0.805377,1,3,a,20,0
p2.3.b_c.txt,20,130,0.841284,1,3,b,20,0
p2.3.b_c.txt,20,130,0.848698,1,3,b,20,0
p2.3.b_c.txt,20,130,0.842879,1,3,b,20,0
p2.3.b_c.txt,20,130,0.844756,1,3,b,20,0
p2.3.b_c.txt,20,130,0.8415,1,3,b,20,0
p2.3.b_c.txt,20,130,0.854164,1,3,b,20,0
p2.3.b_c.txt,20,130,0.855459,1,3,b,20,0
p2.3.b_c.txt,20,130,0.845157,1,3,b,20,0
p2.3.b_c.txt,20,130,0.846128,1,3,b,20,0
p2.3.b_c.txt,20,130,0.847902,1,3,b,20,0
p2.3.c_c.txt,25,125,0.879316,1,3,c,25,0
p2.3.c_c.txt,25,125,0.887619,1,3,c,25,0
p2.3.c_c.txt,25,125,0.885477,1,3,c,25,0
p2.3.c_c.txt,25,125,0.886471,1,3,c,25,0
p2.3.c_c.txt,25,125,0.882601,1,3,c,25,0
p2.3.c_c.txt,25,125,0.872563,1,3,c,25,0
p2.3.c_c.txt,25,125,0.886555,1,3,c,25,0
p2.3.c_c.txt,25,125,0.891781,1,3,c,25,0
p2.3.c_c.txt,25,125,0.879808,1,3,c,25,0
p2.3.c_c.txt,25,125,0.893231,1,3,c,25,0
p2.3.d_c.txt,30,120,0.882006,1,3,d,30,0
p2.3.d_c.txt,30,120,0.884297,1,3,d,30,0
p2.3.d_c.txt,30,120,0.903788,1,3,d,30,0
p2.3.d_c.txt,30,120,0.892748,1,3,d,30,0
p2.3.d_c.txt,30,120,0.891785,1,3,d,30,0
p2.3.d_c.txt,30,120,0.870748,1,3,d,30,0
p2.3.d_c.txt,30,120,0.893658,1,3,d,30,0
p2.3.d_c.txt,30,120,0.897015,1,3,d,30,0
p2.3.d_c.txt,30,120,0.900224,1,3,d,30,0
p2.3.d_c.txt,30,120,0.891056,1,3,d,30,0
p2.3.e_c.txt,40,110,0.875172,1,3,e,40,0
p2.3.e_c.txt,40,110,0.878779,1,3,e,40,0
p2.3.e_c.txt,40,110,0.881542,1,3,e,40,0
p2.3.e_c.txt,40,110,0.88349,1,3,e,40,0
p2.3.e_c.txt,40,110,0.893487,1,3,e,40,0
p2.3.e_c.txt,40,110,0.869836,1,3,e,40,0
p2.3.e_c.txt,40,110,0.880151,1,3,e,40,0
p2.3.e_c.txt,40,110,0.879863,1,3,e,40,0
p2.3.e_c.txt,40,110,0.877968,1,3,e,40,0
p2.3.e_c.txt,40,110,0.889989,1,3,e,40,0
p2.3.f_c.txt,40,110,0.914482,1,3,f,40,0
p2.3.f_c.txt,40,110,0.905267,1,3,f,40,0
p2.3.f_c.txt,40,110,0.919457,1,3,f,40,0
p2.3.f_c.txt,40,110,0.917277,1,3,f,40,0
p2.3.f_c.txt,40,110,0.922686,1,3,f,40,0
p2.3.f_c.txt,40,110,0.923168,1,3,f,40,0
p2.3.f_c.txt,40,110,0.918807,1,3,f,40,0
p2.3.f_c.txt,40,110,0.920466,1,3,f,40,0
p2.3.f_c.txt,40,110,0.933551,1,3,f,40,0
p2.3.f_c.txt,40,110,0.906493,1,3,f,40,0
p2.3.g_c.txt,40,110,0.926696,1,3,g,40,0
p2.3.g_c.txt,40,110,0.921025,1,3,g,40,0
p2.3.g_c.txt,40,110,0.943987,1,3,g,40,0
p2.3.g_c.txt,40,110,0.920931,1,3,g,40,0
p2.3.g_c.txt,40,110,0.928382,1,3,g,40,0
p2.3.g_c.txt,40,110,0.938672,1,3,g,40,0
p2.3.g_c.txt,40,110,0.9172,1,3,g,40,0
p2.3.g_c.txt,40,110,0.951778,1,3,g,40,0
p2.3.g_c.txt,40,110,0.998706,1,3,g,40,0
p2.3.g_c.txt,40,110,0.964238,1,3,g,40,0
p2.3.h_c.txt,45,105,0.951517,1,3,h,45,0
p2.3.h_c.txt,45,105,0.950446,1,3,h,45,0
p2.3.h_c.txt,45,105,0.971903,1,3,h,45,0
p2.3.h_c.txt,45,105,0.928042,1,3,h,45,0
p2.3.h_c.txt,45,105,0.957095,1,3,h,45,0
p2.3.h_c.txt,45,105,0.942937,1,3,h,45,0
p2.3.h_c.txt,45,105,0.949609,1,3,h,45,0
p2.3.h_c.txt,45,105,0.936441,1,3,h,45,0
p2.3.h_c.txt,45,105,0.939554,1,3,h,45,0
p2.3.h_c.txt,45,105,0.944077,1,3,h,45,0
p2.3.i_c.txt,60,90,0.916898,1,3,i,60,0
p2.3.i_c.txt,60,90,0.930621,1,3,i,60,0
p2.3.i_c.txt,60,90,0.926229,1,3,i,60,0
p2.3.i_c.txt,60,90,0.929902,1,3,i,60,0
p2.3.i_c.txt,60,90,0.927022,1,3,i,60,0
p2.3.i_c.txt,60,90,0.93363,1,3,i,60,0
p2.3.i_c.txt,60,90,0.943298,1,3,i,60,0
p2.3.i_c.txt,60,90,0.928992,1,3,i,60,0
p2.3.i_c.txt,60,90,0.941984,1,3,i,60,0
p2.3.i_c.txt,60,90,0.951858,1,3,i,60,0
p2.3.j_c.txt,60,90,1.03634,1,3,j,60,0
p2.3.j_c.txt,60,90,1.0478,1,3,j,60,0
p2.3.j_c.txt,60,90,1.01194,1,3,j,60,0
p2.3.j_c.txt,60,90,1.02082,1,3,j,60,0
p2.3.j_c.txt,60,90,1.02429,1,3,j,60,0
p2.3.j_c.txt,60,90,1.01451,1,3,j,60,0
p2.3.j_c.txt,60,90,1.04678,1,3,j,60,0
p2.3.j_c.txt,60,90,1.09221,1,3,j,60,0
p2.3.j_c.txt,60,90,1.05376,1,3,j,60,0
p2.3.j_c.txt,60,90,1.00835,1,3,j,60,0
p2.3.k_c.txt,65,85,1.01496,1,3,k,65,0
p2.3.k_c.txt,65,85,1.05077,1,3,k,65,0
p2.3.k_c.txt,65,85,0.997129,1,3,k,65,0
p2.3.k_c.txt,65,85,1.01115,1,3,k,65,0
p2.3.k_c.txt,65,85,1.01153,1,3,k,65,0
p2.3.k_c.txt,65,85,1.03915,1,3,k,65,0
p2.3.k_c.txt,65,85,0.991567,1,3,k,65,0
p2.3.k_c.txt,65,85,1.00915,1,3,k,65,0
p2.3.k_c.txt,65,85,1.03702,1,3,k,65,0
p2.3.k_c.txt,65,85,1.02006,1,3,k,65,0
p2.4.a_c.txt,0,112.5,0.068045,1,4,a,0,0
p2.4.a_c.txt,0,112.5,0.069597,1,4,a,0,0
p2.4.a_c.txt,0,112.5,0.068739,1,4,a,0,0
p2.4.a_c.txt,0,112.5,0.068114,1,4,a,0,0
p2.4.a_c.txt,0,112.5,0.068261,1,4,a,0,0
p2.4.a_c.txt,0,112.5,0.067762,1,4,a,0,0
p2.4.a_c.txt,0,112.5,0.069868,1,4,a,0,0
p2.4.a_c.txt,0,112.5,0.081082,1,4,a,0,0
p2.4.a_c.txt,0,112.5,0.07268,1,4,a,0,0
p2.4.a_c.txt,0,112.5,0.069715,1,4,a,0,0
p2.4.b_c.txt,10,102.5,0.934622,1,4,b,10,0
p2.4.b_c.txt,10,102.5,0.935122,1,4,b,10,0
p2.4.b_c.txt,10,102.5,0.936784,1,4,b,10,0
p2.4.b_c.txt,10,102.5,0.952466,1,4,b,10,0
p2.4.b_c.txt,10,102.5,0.933046,1,4,b,10,0
p2.4.b_c.txt,10,102.5,0.918793,1,4,b,10,0
p2.4.b_c.txt,10,102.5,0.936096,1,4,b,10,0
p2.4.b_c.txt,10,102.5,0.944775,1,4,b,10,0
p2.4.b_c.txt,10,102.5,0.939939,1,4,b,10,0
p2.4.b_c.txt,10,102.5,0.963257,1,4,b,10,0
p2.4.c_c.txt,10,102.5,0.926501,1,4,c,10,0
p2.4.c_c.txt,10,102.5,0.943558,1,4,c,10,0
p2.4.c_c.txt,10,102.5,0.935576,1,4,c,10,0
p2.4.c_c.txt,10,102.5,0.924176,1,4,c,10,0
p2.4.c_c.txt,10,102.5,0.929491,1,4,c,10,0
p2.4.c_c.txt,10,102.5,0.91285,1,4,c,10,0
p2.4.c_c.txt,10,102.5,0.930141,1,4,c,10,0
p2.4.c_c.txt,10,102.5,0.934864,1,4,c,10,0
p2.4.c_c.txt,10,102.5,0.920324,1,4,c,10,0
p2.4.c_c.txt,10,102.5,0.956327,1,4,c,10,0
p2.4.d_c.txt,10,102.5,0.976787,1,4,d,10,0
p2.4.d_c.txt,10,102.5,0.919636,1,4,d,10,0
p2.4.d_c.txt,10,102.5,0.913871,1,4,d,10,0
p2.4.d_c.txt,10,102.5,0.907507,1,4,d,10,0
p2.4.d_c.txt,10,102.5,0.856265,1,4,d,10,0
p2.4.d_c.txt,10,102.5,0.797859,1,4,d,10,0
p2.4.d_c.txt,10,102.5,0.813139,1,4,d,10,0
p2.4.d_c.txt,10,102.5,0.814868,1,4,d,10,0
p2.4.d_c.txt,10,102.5,0.831354,1,4,d,10,0
p2.4.d_c.txt,10,102.5,0.791569,1,4,d,10,0
p2.4.e_c.txt,10,102.5,0.799923,1,4,e,10,0
p2.4.e_c.txt,10,102.5,0.807439,1,4,e,10,0
p2.4.e_c.txt,10,102.5,0.831202,1,4,e,10,0
p2.4.e_c.txt,10,102.5,0.84646,1,4,e,10,0
p2.4.e_c.txt,10,102.5,0.812027,1,4,e,10,0
p2.4.e_c.txt,10,102.5,0.829208,1,4,e,10,0
p2.4.e_c.txt,10,102.5,0.834686,1,4,e,10,0
p2.4.e_c.txt,10,102.5,0.837189,1,4,e,10,0
p2.4.e_c.txt,10,102.5,0.814996,1,4,e,10,0
p2.4.e_c.txt,10,102.5,0.810871,1,4,e,10,0
p2.4.f_c.txt,25,87.5,0.956388,1,4,f,25,0
p2.4.f_c.txt,25,87.5,0.960511,1,4,f,25,0
p2.4.f_c.txt,25,87.5,1.0009,1,4,f,25,0
p2.4.f_c.txt,25,87.5,0.970721,1,4,f,25,0
p2.4.f_c.txt,25,87.5,1.01354,1,4,f,25,0
p2.4.f_c.txt,25,87.5,0.970555,1,4,f,25,0
p2.4.f_c.txt,25,87.5,1.01288,1,4,f,25,0
p2.4.f_c.txt,25,87.5,0.960248,1,4,f,25,0
p2.4.f_c.txt,25,87.5,0.928962,1,4,f,25,0
p2.4.f_c.txt,25,87.5,0.970931,1,4,f,25,0
p2.4.g_c.txt,25,87.5,0.968978,1,4,g,25,0
p2.4.g_c.txt,25,87.5,0.933439,1,4,g,25,0
p2.4.g_c.txt,25,87.5,0.940507,1,4,g,25,0
p2.4.g_c.txt,25,87.5,0.963294,1,4,g,25,0
p2.4.g_c.txt,25,87.5,0.93691,1,4,g,25,0
p2.4.g_c.txt,25,87.5,0.940895,1,4,g,25,0
p2.4.g_c.txt,25,87.5,1.01181,1,4,g,25,0
p2.4.g_c.txt,25,87.5,0.987412,1,4,g,25,0
p2.4.g_c.txt,25,87.5,0.937884,1,4,g,25,0
p2.4.g_c.txt,25,87.5,1.00334,1,4,g,25,0
p2.4.h_c.txt,25,87.5,0.857754,1,4,h,25,0
p2.4.h_c.txt,25,87.5,0.853084,1,4,h,25,0
p2.4.h_c.txt,25,87.5,0.868185,1,4,h,25,0
p2.4.h_c.txt,25,87.5,0.877301,1,4,h,25,0
p2.4.h_c.txt,25,87.5,0.876201,1,4,h,25,0
p2.4.h_c.txt,25,87.5,0.876016,1,4,h,25,0
p2.4.h_c.txt,25,87.5,0.891251,1,4,h,25,0
p2.4.h_c.txt,25,87.5,0.888104,1,4,h,25,0
p2.4.h_c.txt,25,87.5,0.893958,1,4,h,25,0
p2.4.h_c.txt,25,87.5,0.848103,1,4,h,25,0
p2.4.i_c.txt,25,87.5,0.760993,1,4,i,25,0
p2.4.i_c.txt,25,87.5,0.770633,1,4,i,25,0
p2.4.i_c.txt,25,87.5,0.770919,1,4,i,25,0
p2.4.i_c.txt,25,87.5,0.77694,1,4,i,25,0
p2.4.i_c.txt,25,87.5,0.766898,1,4,i,25,0
p2.4.i_c.txt,25,87.5,0.775822,1,4,i,25,0
p2.4.i_c.txt,25,87.5,0.768034,1,4,i,25,0
p2.4.i_c.txt,25,87.5,0.766082,1,4,i,25,0
p2.4.i_c.txt,25,87.5,0.789808,1,4,i,25,0
p2.4.i_c.txt,25,87.5,0.828531,1,4,i,25,0
p2.4.j_c.txt,25,87.5,0.761906,1,4,j,25,0
p2.4.j_c.txt,25,87.5,0.765626,1,4,j,25,0
p2.4.j_c.txt,25,87.5,0.761752,1,4,j,25,0
p2.4.j_c.txt,25,87.5,0.758417,1,4,j,25,0
p2.4.j_c.txt,25,87.5,0.759527,1,4,j,25,0
p2.4.j_c.txt,25,87.5,0.760745,1,4,j,25,0
p2.4.j_c.txt,25,87.5,0.764893,1,4,j,25,0
p2.4.j_c.txt,25,87.5,0.767029,1,4,j,25,0
p2.4.j_c.txt,25,87.5,0.767054,1,4,j,25,0
p2.4.j_c.txt,25,87.5,0.764787,1,4,j,25,0
p2.4.k_c.txt,40,72.5,0.78224,1,4,k,40,0
p2.4.k_c.txt,40,72.5,0.783948,1,4,k,40,0
p2.4.k_c.txt,40,72.5,0.789735,1,4,k,40,0
p2.4.k_c.txt,40,72.5,0.779372,1,4,k,40,0
p2.4.k_c.txt,40,72.5,0.7947,1,4,k,40,0
